inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0.0,1651514659
10,0,0,0,0,0,0.0,1651514669
10,0,0,0,0,0,0.0,1651514679
10,0,0,0,0,0,0.0,1651514689
10,0,0,0,0,0,0.0,1651514699
10,0,0,0,0,0,0.0,1651514709
10,0,0,0,0,0,0.0,1651514719
10,0,0,0,0,0,0.0,1651514729
8,0,0,0,0,2,0.0,1651514739
9,0,0,0,0,1,0.0,1651514749
8,0,0,0,0,1,0.0,1651514759
3,0,0,0,0,5,2.0,1651514768
11,0,0,0,0,0,0.0,1651514780
9,0,0,0,0,0,0.0,1651514789
11,0,0,0,0,0,0.0,1651514800
9,0,0,0,0,0,0.0,1651514809
10,0,0,0,0,0,0.0,1651514819
10,0,0,0,0,0,0.0,1651514829
10,0,0,0,0,0,0.0,1651514839
10,0,0,0,0,0,0.0,1651514849
10,0,0,0,0,0,0.0,1651514859
10,0,0,0,0,0,0.0,1651514869
10,0,0,0,0,0,0.0,1651514879
10,0,0,0,0,0,0.0,1651514889
10,0,0,0,0,0,0.0,1651514899
10,0,0,0,0,0,0.0,1651514909
10,0,0,0,0,0,0.0,1651514919
10,0,0,0,0,0,0.0,1651514929
10,0,0,0,0,0,0.0,1651514939
10,0,0,0,0,0,0.0,1651514949
