inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0.0,1651523838
11,0,0,0,0,0,3.0,1651523849
7,2,0,0,1,0,3.5,1651523858
10,0,0,0,0,0,0.0,1651523868
10,0,0,0,0,0,0.0,1651523878
10,0,0,0,0,0,0.0,1651523888
10,0,0,0,0,0,0.0,1651523898
10,0,0,0,0,0,0.0,1651523908
10,0,0,0,0,0,0.0,1651523918
10,0,0,0,0,0,0.0,1651523928
6,0,0,0,4,0,0.0,1651523938
0,0,0,0,10,0,0.0,1651523948
10,0,0,0,0,0,0.0,1651523958
10,0,0,0,0,0,0.0,1651523968
10,0,0,0,0,0,0.0,1651523978
10,0,0,0,0,0,0.0,1651523988
7,0,0,0,0,3,0.0,1651523999
6,0,0,0,0,3,0.0,1651524009
6,1,0,0,1,1,4.5,1651524018
8,0,0,0,0,2,0.0,1651524028
4,0,0,0,0,3,1.0,1651524039
5,0,0,0,1,3,3.5,1651524049
9,1,0,0,0,0,0.0,1651524058
10,0,0,0,0,0,0.0,1651524068
9,0,0,0,0,2,0.0,1651524079
8,1,0,0,0,1,0.0,1651524089
1,1,0,0,1,6,0.0,1651524098
10,0,0,0,0,0,0.0,1651524108
10,0,0,0,0,0,0.0,1651524118
6,0,0,0,0,4,0.0,1651524128
